customer_id,first_name,last_name,email,phone,city,state,registration_date,loyalty_tier,total_spent
CUST000001,David,Rodriguez,customer1@email.com,+17480240280,Chicago,TX,2023-08-07,Bronze,6412.19
CUST000002,Michael,Brown,customer2@email.com,+13065107756,Los Angeles,PA,2024-04-01,Platinum,1070.37
CUST000003,Emma,Smith,customer3@email.com,+19525792899,San Diego,CA,2024-12-27,Silver,672.75
CUST000004,Michael,Davis,customer4@email.com,+17479267908,New York,CA,2023-09-09,Platinum,3734.52
CUST000005,Michael,Johnson,customer5@email.com,+16230022046,New York,TX,2024-09-11,Bronze,4764.45
CUST000006,Olivia,Smith,customer6@email.com,+14830931086,Dallas,IL,2024-01-29,Platinum,8072.04
CUST000007,Sarah,Miller,customer7@email.com,+18589250334,Los Angeles,TX,2024-10-22,Gold,5219.77
CUST000008,Emily,Smith,customer8@email.com,+15668242142,Philadelphia,TX,2023-12-04,Silver,6062.46
CUST000009,Jane,Rodriguez,customer9@email.com,+13830601758,San Diego,CA,2024-05-08,Gold,7706.22
CUST000010,David,Smith,customer10@email.com,+15727587211,Dallas,NY,2023-12-18,Bronze,8184.94
CUST000011,Emma,Rodriguez,customer11@email.com,+12440648650,San Jose,CA,2025-06-09,Bronze,8987.56
CUST000012,Robert,Johnson,customer12@email.com,+18922979256,San Jose,PA,2024-05-27,Platinum,8120.51
CUST000013,David,Garcia,customer13@email.com,+17910532569,San Antonio,TX,2025-01-15,Bronze,1230.91
CUST000014,James,Davis,customer14@email.com,+13884045794,Phoenix,CA,2024-10-18,Bronze,9645.65
CUST000015,James,Williams,customer15@email.com,+19020147863,Chicago,CA,2024-03-08,Bronze,1252.9
CUST000016,David,Johnson,customer16@email.com,+13977853303,Dallas,NY,2023-09-17,Bronze,5249.75
CUST000017,John,Rodriguez,customer17@email.com,+19034380681,Chicago,CA,2023-08-03,Platinum,5922.4
CUST000018,David,Miller,customer18@email.com,+19039252223,Dallas,AZ,2025-04-07,Bronze,6769.78
CUST000019,Sarah,Davis,customer19@email.com,+19774243848,San Diego,TX,2025-03-03,Silver,5592.04
CUST000020,Jane,Brown,customer20@email.com,+14119540376,Los Angeles,PA,2025-01-15,Gold,6507.59
